GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000248333	1	1570603	1590473	12	2	3119401	0.22825	0.40973	CDK11B
ENSG00000189339	1	1592939	1624167	20	3	3331602	0.19938	0.42098	SLC35E2B
ENSG00000215790	1	1656277	1677431	1	1	3316042	0.82671	0.2042	SLC35E2
ENSG00000008130	1	1682671	1711896	18	4	3412203	-0.49214	0.68869	NADK
ENSG00000078369	1	1716729	1822495	71	8	3523059	1.2522	0.10524	GNB1
ENSG00000169885	1	1846266	1848735	5	2	3481761	2.5543	0.0053208	CALML6
ENSG00000178821	1	1849029	1850712	3	1	3477634	1.3641	0.086275	TMEM52
ENSG00000142609	1	1853396	1935276	95	13	3419219	2.1775	0.014722	C1orf222
ENSG00000187730	1	1950780	1962192	16	3	3492626	0.64386	0.25983	GABRD
ENSG00000067606	1	1981909	2116834	230	19	3436344	1.0663	0.14315	PRKCZ
ENSG00000162585	1	2115903	2144159	32	5	3495855	1.1825	0.1185	C1orf86
ENSG00000269554	1	2121237	2123179	1	1	3535863	-0.40538	0.6574	AL590822.2
ENSG00000203301	1	2143360	2145620	2	1	3400565	1.5701	0.058198	AL590822.1
ENSG00000157933	1	2160134	2241558	166	27	3508766	1.5573	0.059698	SKI
ENSG00000116151	1	2252692	2323146	247	40	3516889	1.4732	0.070349	MORN1
ENSG00000157916	1	2323267	2336883	30	9	3542505	2.8456	0.0022167	RER1
ENSG00000157911	1	2336236	2345236	19	6	3513663	2.2614	0.011868	PEX10
ENSG00000149527	1	2357419	2436969	174	26	3505788	2.6625	0.0038778	PLCH2
ENSG00000157881	1	2439972	2458039	33	5	3544684	0.72828	0.23322	PANK4
ENSG00000197921	1	2460184	2461684	3	2	3479528	1.1131	0.13283	HES5
ENSG00000157873	1	2487078	2496821	18	4	3525056	1.7265	0.042129	TNFRSF14
ENSG00000157870	1	2517930	2522908	9	3	3490975	0.86799	0.1927	FAM213B
ENSG00000142606	1	2522078	2564481	135	7	3533570	0.33966	0.36706	MMEL1
ENSG00000215912	1	2567415	2718286	93	8	3490596	1.5118	0.065297	TTC34
ENSG00000169717	1	2938046	2939465	2	1	3424565	2.5086	0.0060611	ACTRT2
ENSG00000142611	1	2985732	3355185	926	117	3482905	2.256	0.012036	PRDM16
ENSG00000130762	1	3370990	3397677	55	7	3515688	1.2992	0.096942	ARHGEF16
ENSG00000162591	1	3406484	3528059	214	46	3393023	0.5711	0.28396	MEGF6
ENSG00000158109	1	3541566	3546691	6	2	3419107	0.7669	0.22157	TPRG1L
ENSG00000116213	1	3547331	3569325	21	5	3405517	0.83566	0.20167	WRAP73
ENSG00000078900	1	3569084	3652765	162	30	3467718	-0.68676	0.75388	TP73
ENSG00000162592	1	3668962	3688209	41	7	3475424	1.2029	0.11451	CCDC27
ENSG00000235169	1	3689352	3692546	6	3	3544691	0.8843	0.18827	SMIM1
ENSG00000130764	1	3696784	3713068	41	8	3528932	1.0133	0.15545	LRRC47
ENSG00000116198	1	3728645	3773778	244	19	3539549	0.47941	0.31583	CEP104
ENSG00000169598	1	3773845	3801993	104	11	3520432	-0.8159	0.79272	DFFB
ENSG00000198912	1	3805689	3816857	24	3	3535313	-0.048388	0.5193	C1orf174
ENSG00000196581	1	4714792	4852594	603	72	3533249	2.4792	0.0065841	AJAP1
ENSG00000131697	1	5922871	6052533	344	16	3528980	1.3687	0.085541	NPHP4
ENSG00000069424	1	6051526	6161253	232	41	3531440	0.40729	0.3419	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	3549743	1.2955	0.097582	AL035406.1
ENSG00000116254	1	6161853	6240183	229	29	3517730	2.284	0.011187	CHD5
ENSG00000116251	1	6241329	6269449	54	9	3535805	1.5833	0.056675	RPL22
ENSG00000158286	1	6265535	6281359	32	4	3516509	0.55554	0.28926	RNF207
ENSG00000116237	1	6281253	6296032	25	4	3510684	0.76436	0.22233	ICMT
ENSG00000173673	1	6304252	6305638	2	1	3551383	0.67723	0.24913	HES3
ENSG00000158292	1	6307406	6321035	33	2	3516319	1.6683	0.047632	GPR153
ENSG00000097021	1	6324329	6454451	341	18	3524384	0.6088	0.27133	ACOT7
ENSG00000069812	1	6472478	6484730	34	6	3503851	-0.36239	0.64147	HES2
ENSG00000187017	1	6484848	6521430	76	7	3506625	-1.3603	0.91314	ESPN
ENSG00000215788	1	6521211	6526255	7	2	3534497	-1.4167	0.92172	TNFRSF25
ENSG00000171680	1	6526152	6580121	114	18	3500337	-1.5851	0.94353	PLEKHG5
ENSG00000162408	1	6581407	6614595	93	2	3519765	0.0060761	0.49758	NOL9
ENSG00000173662	1	6615241	6639817	42	7	3426326	-0.058706	0.52341	TAS1R1
ENSG00000204859	1	6640061	6649340	8	4	3509381	0.92	0.17879	ZBTB48
ENSG00000162413	1	6650784	6674667	39	9	3519042	1.6896	0.045555	KLHL21
ENSG00000116273	1	6673745	6684093	15	3	3530288	1.7342	0.041439	PHF13
ENSG00000041988	1	6684926	6695646	21	4	3538478	2.0128	0.022066	THAP3
ENSG00000007923	1	6694228	6761984	121	14	3547656	2.6256	0.0043245	DNAJC11
ENSG00000171735	1	6845384	7829766	2184	178	3524939	4.4625	4.0499e-06	CAMTA1
ENSG00000049245	1	7831329	7841492	31	8	3532684	1.3338	0.091134	VAMP3
ENSG00000049246	1	7844380	7905237	207	25	3537575	2.889	0.0019325	PER3
ENSG00000049247	1	7903143	7913572	38	11	3543585	2.2334	0.012762	UTS2
ENSG00000049249	1	7979907	8000926	41	6	3517342	1.169	0.12121	TNFRSF9
ENSG00000116288	1	8014351	8045565	52	8	3513926	0.32429	0.37286	PARK7
ENSG00000116285	1	8064464	8086368	25	5	3560006	0.055805	0.47775	ERRFI1
ENSG00000162426	1	8377886	8404227	75	12	3522135	4.932	4.0703e-07	SLC45A1
ENSG00000142599	1	8412457	8877702	438	30	3518205	7.5631	1.9686e-14	RERE
ENSG00000074800	1	8921061	8939308	13	4	3516557	1.293	0.098001	ENO1
ENSG00000131686	1	9005926	9035151	98	21	3526278	0.9764	0.16443	CA6
ENSG00000197241	1	9063359	9086404	33	10	3498778	0.9099	0.18144	SLC2A7
ENSG00000142583	1	9095166	9148537	146	19	3524488	0.95364	0.17013	SLC2A5
ENSG00000180758	1	9160364	9189229	62	9	3534993	1.3509	0.088366	GPR157
ENSG00000049239	1	9294834	9331396	81	15	3513575	3.4333	0.00029813	H6PD
ENSG00000171621	1	9352939	9429591	279	40	3522617	2.521	0.0058503	SPSB1
ENSG00000171612	1	9599541	9645237	34	5	3468221	2.9907	0.0013919	SLC25A33
ENSG00000188807	1	9648932	9674935	23	6	3515950	3.289	0.00050274	TMEM201
ENSG00000171608	1	9711790	9789172	95	20	3517062	1.1985	0.11535	PIK3CD
ENSG00000179840	1	9712668	9714644	4	1	3574049	0.87522	0.19073	C1orf200
ENSG00000171603	1	9789084	9884584	99	9	3520938	1.8325	0.033438	CLSTN1
ENSG00000178585	1	9908334	9970394	50	7	3492141	-0.58267	0.71994	CTNNBIP1
ENSG00000162441	1	9982173	10003465	15	6	3487735	0.6545	0.2564	LZIC
ENSG00000173614	1	10003486	10045559	46	6	3538112	1.0429	0.14849	NMNAT1
ENSG00000162444	1	10057264	10076078	32	4	3502224	1.3282	0.092058	RBP7
ENSG00000130939	1	10092890	10241297	249	16	3530345	1.1631	0.12239	UBE4B
ENSG00000054523	1	10270863	10441661	485	16	3528060	1.9918	0.023198	KIF1B
ENSG00000142657	1	10458649	10480201	46	7	3498163	1.5265	0.063439	PGD
ENSG00000251503	1	10490159	10512210	39	6	3496368	-0.33617	0.63163	APITD1-CORT
ENSG00000175279	1	10490159	10512210	39	6	3496368	-0.33617	0.63163	APITD1
ENSG00000241563	1	10509776	10511959	3	1	3519922	0.29698	0.38324	CORT
ENSG00000160049	1	10516579	10532583	17	4	3504782	1.3182	0.093713	DFFA
ENSG00000142655	1	10532345	10690815	353	24	3504197	1.057	0.14525	PEX14
ENSG00000130940	1	10696661	10856707	330	58	3501481	0.45125	0.3259	CASZ1
ENSG00000175262	1	11006528	11042094	82	11	3529063	-0.41495	0.66091	C1orf127
ENSG00000120948	1	11072414	11085796	18	3	3495535	1.1849	0.11802	TARDBP
ENSG00000009724	1	11086580	11107290	30	5	3465072	0.87064	0.19197	MASP2
ENSG00000116649	1	11114641	11120081	5	1	3527742	-0.50022	0.69154	SRM
ENSG00000171824	1	11126675	11159938	78	4	3539131	-1.4565	0.92737	EXOSC10
ENSG00000198793	1	11166592	11322564	239	6	3503913	-1.1992	0.88477	MTOR
ENSG00000171819	1	11249398	11256038	11	1	3504734	-1.7304	0.95822	ANGPTL7
ENSG00000120942	1	11333263	11356106	26	2	3513131	-0.24405	0.5964	UBIAD1
ENSG00000204624	1	11539223	11597641	137	13	3543902	3.322	0.00044685	PTCHD2
ENSG00000116661	1	11708424	11715842	10	5	3523499	1.7483	0.040207	FBXO2
ENSG00000132879	1	11714432	11723384	12	4	3461881	1.0579	0.14505	FBXO44
ENSG00000116663	1	11724181	11734411	11	3	3514503	-1.2594	0.89606	FBXO6
ENSG00000116670	1	11734537	11751707	32	6	3501933	0.88095	0.18917	MAD2L2
ENSG00000162490	1	11751786	11785914	48	11	3501384	0.057401	0.47711	DRAXIN
ENSG00000177674	1	11796141	11814859	38	5	3532329	1.1702	0.12095	AGTRAP
ENSG00000215910	1	11821844	11849642	141	9	3529809	-0.12457	0.54957	C1orf167
ENSG00000177000	1	11845780	11866977	76	10	3542639	0.45314	0.32522	MTHFR
ENSG00000011021	1	11866207	11903201	178	12	3531566	0.34396	0.36544	CLCN6
ENSG00000175206	1	11905766	11908402	14	5	3458847	0.33809	0.36765	NPPA
ENSG00000116685	1	11979648	11986485	18	5	3497906	-0.86141	0.80549	KIAA2013
ENSG00000083444	1	11994262	12035595	103	10	3517368	-0.73857	0.76992	PLOD1
ENSG00000116688	1	12040238	12073571	63	6	3515282	0.7922	0.21412	MFN2
ENSG00000116691	1	12079523	12092102	18	3	3502084	0.45422	0.32484	MIIP
ENSG00000120949	1	12123434	12204264	132	23	3503333	0.15874	0.43694	TNFRSF8
ENSG00000028137	1	12227060	12269285	101	11	3531936	0.64678	0.25889	TNFRSF1B
ENSG00000048707	1	12290124	12572099	259	15	3499335	-0.29501	0.61601	VPS13D
ENSG00000162496	1	12627939	12677737	124	23	3537297	-0.091266	0.53636	DHRS3
ENSG00000204518	1	12704566	12727097	24	2	3533253	0.60389	0.27296	AADACL4
ENSG00000188984	1	12776118	12788726	33	4	3498517	-0.45882	0.67682	AADACL3
ENSG00000157330	1	12806163	12823847	38	7	3506609	0.10144	0.4596	C1orf158
ENSG00000116726	1	12834984	12838049	2	1	3487952	2.1338	0.016431	PRAMEF12
ENSG00000116721	1	12851546	12856777	2	1	3504889	1.6177	0.052864	PRAMEF1
ENSG00000120952	1	12916941	12921764	5	1	3468455	0.90399	0.183	PRAMEF2
ENSG00000162494	1	13801445	13840543	97	20	3511699	0.50853	0.30554	LRRC38
ENSG00000162493	1	13909960	13944452	85	19	3528866	-0.47402	0.68226	PDPN
ENSG00000116731	1	14026693	14151574	321	24	3532724	-0.46361	0.67854	PRDM2
ENSG00000189337	1	14925200	15444539	1399	153	3521901	-0.26784	0.60559	KAZN
ENSG00000171729	1	15479028	15546976	323	24	3538211	-0.19925	0.57897	TMEM51
ENSG00000204464	1	15490840	15497813	23	6	3550204	-0.20779	0.58231	C1orf195
ENSG00000142621	1	15573768	15726779	392	46	3495878	0.68069	0.24803	FHAD1
ENSG00000142634	1	15736391	15756839	56	16	3508535	-0.049453	0.51972	EFHD2
ENSG00000162438	1	15764935	15775737	15	5	3557930	-0.33193	0.63003	CTRC
ENSG00000142615	1	15783223	15798586	48	7	3515009	1.179	0.11921	CELA2A
ENSG00000215704	1	15792404	15817895	72	11	3498328	0.28666	0.38719	CELA2B
ENSG00000132906	1	15817327	15853029	116	7	3544674	0.36049	0.35924	CASP9
ENSG00000116138	1	15853308	15918874	188	12	3516621	0.48837	0.31264	DNAJC16
ENSG00000116771	1	15898848	15911605	51	5	3495408	0.42798	0.33433	AGMAT
ENSG00000197312	1	15943995	15995539	104	5	3538801	0.84929	0.19786	DDI2
ENSG00000215695	1	15986364	15988217	3	2	3500924	1.1094	0.13363	RSC1A1
ENSG00000116786	1	16010827	16061264	139	11	3518503	0.96829	0.16645	PLEKHM2
ENSG00000162461	1	16062900	16067891	5	2	3523323	0.75093	0.22635	SLC25A34
ENSG00000162460	1	16068917	16074477	12	3	3523542	0.36954	0.35586	TMEM82
ENSG00000162458	1	16083102	16113089	55	8	3550006	1.5402	0.061753	FBLIM1
ENSG00000065526	1	16174359	16266955	121	14	3521720	3.9659	3.6555e-05	SPEN
ENSG00000116809	1	16268364	16302627	49	10	3522793	5.0124	2.6881e-07	ZBTB17
ENSG00000183888	1	16330731	16335302	14	4	3551322	2.6643	0.0038572	C1orf64
ENSG00000173641	1	16340523	16346089	41	5	3561347	2.7785	0.0027309	HSPB7
ENSG00000186510	1	16345370	16360545	76	11	3532043	3.0527	0.0011338	CLCNKA
ENSG00000184908	1	16370272	16383803	101	11	3470835	1.478	0.069704	CLCNKB
ENSG00000185519	1	16384264	16400127	49	6	3504324	1.6823	0.046259	FAM131C
ENSG00000142627	1	16450832	16482582	49	9	3521855	1.5775	0.057344	EPHA2
ENSG00000142632	1	16524349	16539104	44	4	3507904	1.6009	0.054699	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	3552722	-1.5583	0.94042	C1orf134
ENSG00000132881	1	16558195	16563657	14	5	3500534	-0.54112	0.70579	RSG1
ENSG00000037637	1	16573334	16678949	191	10	3513471	0.74037	0.22954	FBXO42
ENSG00000055070	1	16679070	16724640	87	9	3501572	1.9738	0.024205	SZRD1
ENSG00000187144	1	16713612	16763919	77	14	3513199	1.8503	0.032139	SPATA21
ENSG00000157191	1	16767167	16786573	24	4	3527519	0.99729	0.15931	NECAP2
ENSG00000058453	1	17066768	17299474	58	10	3503038	1.4343	0.075749	CROCC
ENSG00000117122	1	17300997	17307330	14	3	3513827	0.85403	0.19654	MFAP2
ENSG00000159363	1	17312453	17338423	48	10	3493971	0.60714	0.27188	ATP13A2
ENSG00000117118	1	17345217	17380665	110	11	3544664	1.8129	0.03492	SDHB
ENSG00000117115	1	17393256	17445948	218	14	3519651	0.84576	0.19884	PADI2
ENSG00000142623	1	17531621	17572500	118	29	3532634	-0.35379	0.63825	PADI1
ENSG00000142619	1	17575593	17610728	150	20	3552381	0.093456	0.46277	PADI3
ENSG00000159339	1	17634690	17690499	256	18	3527785	1.2275	0.10982	PADI4
ENSG00000269468	1	17655507	17676070	137	12	3534387	1.322	0.09309	AC004824.2
ENSG00000179051	1	17733256	17766220	49	8	3530807	1.7301	0.041803	RCC2
ENSG00000074964	1	17866330	18024369	297	28	3534488	2.0143	0.021989	ARHGEF10L
ENSG00000117148	1	18081808	18153558	167	17	3523612	5.9033	1.7815e-09	ACTL8
ENSG00000117154	1	18434240	18704977	758	90	3536983	3.0825	0.0010264	IGSF21
ENSG00000179023	1	18807424	18812478	24	5	3561535	0.299	0.38247	KLHDC7A
ENSG00000009709	1	18957500	19075360	266	39	3513252	1.6638	0.048074	PAX7
ENSG00000179002	1	19166093	19186176	82	16	3538153	1.6117	0.05351	TAS1R2
ENSG00000255275	1	19175767	19247615	284	31	3539213	-0.24063	0.59508	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	126	17	3544982	-0.12306	0.54897	ALDH4A1
ENSG00000169991	1	19230775	19283180	131	22	3541288	0.79081	0.21453	IFFO2
ENSG00000127481	1	19401000	19536770	235	20	3545655	2.3469	0.0094657	UBR4
ENSG00000127463	1	19542158	19578046	101	12	3544400	1.1024	0.13515	EMC1
ENSG00000053372	1	19578033	19586622	47	7	3538271	0.94357	0.17269	MRTO4
ENSG00000162482	1	19609052	19615744	22	3	3556990	0.81169	0.20848	AKR7A3
ENSG00000053371	1	19630459	19638640	22	8	3549364	2.914	0.0017839	AKR7A2
ENSG00000040487	1	19638820	19655794	75	10	3546581	2.6916	0.0035553	PQLC2
ENSG00000077549	1	19665267	19812066	500	27	3540140	1.1855	0.1179	CAPZB
ENSG00000270136	1	19923473	19984549	146	23	3515955	0.25467	0.39949	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	65	10	3529233	0.0058998	0.49765	MINOS1
ENSG00000158747	1	19967048	19984945	47	15	3521322	1.0471	0.14753	NBL1
ENSG00000158748	1	19991780	20006055	35	7	3483949	2.4921	0.0063489	HTR6
ENSG00000162542	1	20008706	20126438	321	39	3509947	1.8737	0.030484	TMCO4
ENSG00000178828	1	20140523	20141771	4	2	3559533	2.015	0.021953	RNF186
ENSG00000169914	1	20209006	20239438	69	13	3544050	3.2036	0.0006785	OTUD3
ENSG00000188784	1	20246502	20250110	14	4	3570157	2.0333	0.02101	PLA2G2E
ENSG00000188257	1	20301925	20306932	12	5	3502243	-0.62287	0.73332	PLA2G2A
ENSG00000127472	1	20354672	20417683	184	22	3527894	0.63699	0.26207	PLA2G5
ENSG00000117215	1	20438432	20446050	17	8	3538966	-0.75589	0.77514	PLA2G2D
ENSG00000158786	1	20465819	20476879	10	4	3534033	0.45747	0.32367	PLA2G2F
ENSG00000187980	1	20487746	20503917	36	9	3543052	0.012531	0.495	PLA2G2C
ENSG00000162543	1	20512578	20522541	7	3	3514501	1.1156	0.13229	UBXN10
ENSG00000158816	1	20617412	20681387	219	26	3538054	0.45159	0.32578	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	3502893	1.6867	0.045826	CAMK2N1
ENSG00000090432	1	20825943	20834654	25	8	3546784	2.3507	0.0093678	MUL1
ENSG00000183114	1	20878932	20881512	3	1	3551383	2.738	0.0030903	FAM43B
ENSG00000158825	1	20915441	20945401	110	16	3521385	1.0306	0.15137	CDA
ENSG00000158828	1	20959948	20978004	68	10	3481797	1.7553	0.039608	PINK1
ENSG00000244038	1	20978270	20988000	26	5	3550409	1.6063	0.054105	DDOST
ENSG00000117245	1	20990507	21044510	157	33	3535386	2.207	0.013656	KIF17
ENSG00000189410	1	21046225	21059330	32	8	3550449	3.2659	0.00054567	SH2D5
ENSG00000127483	1	21069154	21113816	55	11	3533071	1.9175	0.027585	HP1BP3
ENSG00000075151	1	21132963	21503377	344	22	3507888	1.305	0.095947	EIF4G3
ENSG00000117298	1	21543740	21671997	302	30	3544179	2.1344	0.016406	ECE1
ENSG00000142794	1	21766621	21811498	118	10	3512478	-0.064325	0.52564	NBPF3
ENSG00000162551	1	21835858	21904905	260	22	3531943	2.3216	0.010127	ALPL
ENSG00000076864	1	21922708	21995801	246	47	3540216	4.369	6.2397e-06	RAP1GAP
ENSG00000090686	1	22004791	22110099	324	28	3514955	0.96337	0.16768	USP48
ENSG00000187942	1	22138758	22151714	35	15	3524513	-0.73824	0.76982	LDLRAD2
ENSG00000142798	1	22148738	22263790	325	30	3529920	0.11484	0.45428	HSPG2
ENSG00000219073	1	22303514	22325135	96	11	3422273	0.52987	0.2981	CELA3B
ENSG00000142789	1	22328149	22339032	22	4	3486774	0.58687	0.27865	CELA3A
ENSG00000070831	1	22379120	22419437	89	12	3519634	1.2094	0.11326	CDC42
ENSG00000162552	1	22443798	22470462	72	14	3541970	0.95995	0.16854	WNT4
ENSG00000184677	1	22778344	22857650	98	11	3546541	1.9021	0.028579	ZBTB40
ENSG00000070886	1	22890057	22930087	140	22	3514272	0.88134	0.18907	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	3570382	0.44504	0.32815	C1QA
ENSG00000159189	1	22970123	22974603	19	4	3559015	-0.043725	0.51744	C1QC
ENSG00000173369	1	22979255	22988031	20	5	3542045	0.021413	0.49146	C1QB
ENSG00000133216	1	23037332	23241818	377	44	3537625	4.6642	1.5489e-06	EPHB2
ENSG00000215906	1	23279536	23291831	33	8	3533318	0.64349	0.25995	LACTBL1
ENSG00000227868	1	23337327	23342343	4	2	3527563	0.60985	0.27098	C1orf234
ENSG00000004487	1	23345941	23410182	68	8	3526632	-0.31171	0.62237	KDM1A
ENSG00000169641	1	23410516	23504301	144	15	3534175	-0.040823	0.51628	LUZP1
ENSG00000179546	1	23516993	23521222	9	2	3513875	0.047756	0.48096	HTR1D
ENSG00000125944	1	23630264	23670829	30	5	3508372	2.3617	0.0090946	HNRNPR
ENSG00000125945	1	23685941	23695935	23	4	3525037	1.1182	0.13175	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	3583863	0.36147	0.35887	C1orf213
ENSG00000204219	1	23707554	23751233	108	16	3542220	0.43515	0.33173	TCEA3
ENSG00000088280	1	23755056	23811061	105	13	3516881	-0.42973	0.66631	ASAP3
ENSG00000007968	1	23832922	23857712	42	6	3527228	-0.55077	0.7091	E2F2
ENSG00000117318	1	23884409	23886285	7	3	3523320	-0.76718	0.77851	ID3
ENSG00000197880	1	23907985	23967058	82	18	3510753	0.84575	0.19885	MDS2
ENSG00000142676	1	24018269	24022915	8	2	3210642	-2.0985	0.98207	RPL11
ENSG00000011007	1	24069645	24088549	9	3	3535902	2.2737	0.011493	TCEB3
ENSG00000057757	1	24104895	24114722	5	2	3577367	1.1412	0.1269	PITHD1
ENSG00000011009	1	24117460	24122029	3	1	3327762	0.10102	0.45977	LYPLA2
ENSG00000117305	1	24128375	24165110	35	3	3521921	1.1433	0.12645	HMGCL
ENSG00000179163	1	24171567	24194784	33	3	3461909	0.73346	0.23164	FUCA1
ENSG00000188822	1	24197016	24285549	183	10	3509008	0.030604	0.48779	CNR2
ENSG00000142661	1	24382525	24438665	155	19	3530917	1.8138	0.034856	MYOM3
ENSG00000142677	1	24446261	24469611	59	12	3525020	0.77428	0.21938	IL22RA1
ENSG00000185436	1	24480647	24514449	95	16	3518767	0.92634	0.17714	IFNLR1
ENSG00000158055	1	24645812	24690972	82	17	3537780	-0.35418	0.6384	GRHL3
ENSG00000001460	1	24683489	24743424	152	16	3541158	-0.11214	0.54464	STPG1
ENSG00000001461	1	24742284	24799466	157	15	3544256	0.499	0.30889	NIPAL3
ENSG00000117602	1	24829387	24867530	100	13	3517184	-0.56855	0.71517	RCAN3
ENSG00000184454	1	24882602	24935819	206	27	3544145	1.3877	0.082615	NCMAP
ENSG00000133226	1	24958207	24999758	34	5	3489322	0.24621	0.40276	SRRM1
ENSG00000169504	1	25071848	25170815	83	9	3496399	-0.073522	0.5293	CLIC4
ENSG00000020633	1	25226002	25291612	102	21	3510145	-0.26763	0.60551	RUNX3
ENSG00000117614	1	25549170	25558993	1	1	3583863	-1.0094	0.8436	SYF2
ENSG00000117616	1	25568728	25664704	11	4	3477882	0.65633	0.25581	C1orf63
ENSG00000187010	1	25598884	25656936	1	1	3159549	0.0055146	0.4978	RHD
ENSG00000183726	1	25664408	25688852	18	4	3531429	2.1647	0.015206	TMEM50A
ENSG00000188672	1	25688740	25756683	52	3	3515471	2.1145	0.017237	RHCE
ENSG00000204178	1	25757388	25826700	68	2	3550112	1.8572	0.031639	TMEM57
ENSG00000157978	1	25870071	25895377	45	7	3511245	1.8741	0.03046	LDLRAP1
ENSG00000117643	1	25943959	26112698	206	18	3516519	3.2296	0.00061976	MAN1C1
ENSG00000162430	1	26126667	26144713	38	4	3535906	2.5317	0.0056751	SEPN1
ENSG00000255054	1	26137961	26150235	26	2	3539929	1.8148	0.03478	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	29	2	3535116	1.8608	0.031387	MTFR1L
ENSG00000223474	1	26145212	26147288	5	2	3519721	2.4247	0.0076595	AL020996.1
ENSG00000127423	1	26158414	26185903	60	2	3520270	1.6765	0.046818	AUNIP
ENSG00000182749	1	26187701	26197744	5	1	3495312	4.3507	6.7854e-06	PAQR7
ENSG00000117632	1	26210672	26233482	25	4	3558356	3.6194	0.00014762	STMN1
ENSG00000158006	1	26286258	26324648	77	5	3520451	0.39146	0.34773	PAFAH2
ENSG00000158008	1	26346375	26362955	20	4	3568573	0.40557	0.34253	EXTL1
ENSG00000158014	1	26363743	26372624	18	3	3534910	-0.83394	0.79784	SLC30A2
ENSG00000158022	1	26377795	26394927	39	5	3544254	0.1874	0.42567	TRIM63
ENSG00000175087	1	26437664	26452034	27	2	3485769	0.20288	0.41961	PDIK1L
