Location,ID,PANEL_clean_short,TWAS.Z,TWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4,Low_PP3_0.2,Colocalised
chr1:36789335-36794822,RP11-268J15.5,PsychENCODE,-4.87234,1.1e-06,0,0,0,1,0,No,No
chr1:36884051-36884179,SNORA63,GTEx Nucleus...,5.6156,1.96e-08,0,0,0.288,0.026,0.686,Yes,No
chr1:38179552-38230805,EPHA10,GTEx Cerebel...,-4.932382,8.12e-07,0.005,0.002,0.279,0.096,0.618,Yes,No
chr1:38268616-38272648,YRDC,GTEx Putamen...,5.4034,6.54e-08,0.019,0.002,0.579,0.055,0.345,Yes,No
chr1:38272651-38275126,C1orf122,PsychENCODE,5.183,2.18e-07,0.004,0.002,0.181,0.091,0.722,Yes,No
chr1:38422647-38456593,SF3A3,GTEx Adrenal...,5.1679,2.37e-07,0.002,0.024,0.063,0.716,0.195,No,No
chr1:38474930-38490496,UTP11L,GTEx Whole B...,4.83213,1.35e-06,0,0.003,0.007,0.095,0.895,Yes,Yes
chr1:41086351-41131324,RIMS3,CMC DLPFC Sp...,5.01387,5.33e-07,0,0.008,0,0.015,0.977,Yes,Yes
chr1:41086351-41131329,RIMS3,YFS Blood,-4.986185,6.16e-07,0,0.198,0,0.37,0.432,No,No
chr1:47681962-47697892,TAL1,PsychENCODE,5.21811,1.81e-07,0,0.003,0,0.014,0.983,Yes,Yes
chr1:47681962-47697892,TAL1,YFS Blood,-4.921,8.61e-07,0,0.01,0,0.009,0.981,Yes,Yes
chr1:50513686-50669458,ELAVL4,PsychENCODE,-5.72159,1.06e-08,0,0,0.006,0.015,0.979,Yes,Yes
chr1:52027538-52060569,CALR4P,GTEx Amygdal...,-5.748,9.03e-09,0,0,0.445,0.025,0.53,Yes,No
chr1:52254865-52344609,NRD1,CMC DLPFC Sp...,-7.452,9.19e-14,0,0,0,0.05,0.95,Yes,Yes
chr1:52254865-52344609,NRD1,CMC DLPFC Sp...,7.452,9.19e-14,0,0,0.002,0.05,0.948,Yes,Yes
chr1:52254865-52344609,NRD1,CMC DLPFC Sp...,7.452,9.19e-14,0,0,0,0.05,0.95,Yes,Yes
chr1:52254890-52344477,NRD1,GTEx Whole B...,4.94331,7.68e-07,0,0,0,0.986,0.014,No,No
chr1:52259637-52264824,RP4-657D16.3,GTEx Adrenal...,6.66,2.74e-11,0,0,0.917,0.04,0.043,Yes,No
chr1:52259637-52264824,RP4-657D16.3,GTEx Thyroid,5.540978,3.01e-08,0,0,0.023,0.043,0.934,Yes,Yes
chr1:67218143-67244470,TCTEX1D1,GTEx Caudate...,-4.86041,1.17e-06,0.008,0.017,0.188,0.402,0.386,No,No
chr1:67278568-67390570,WDR78,GTEx Pituita...,5.179,2.23e-07,0.001,0.003,0.027,0.062,0.907,Yes,Yes
chr1:67278568-67390570,WDR78,GTEx Thyroid,5.35553,8.53e-08,0,0.001,0,0.033,0.965,Yes,Yes
chr1:67390577-67454302,MIER1,NTR Blood,-5.495,3.91e-08,0.001,0.001,0.029,0.012,0.958,Yes,Yes
chr1:67390578-67454302,MIER1,GTEx Adrenal...,-5.398,6.74e-08,0.009,0.001,0.228,0.021,0.741,Yes,No
chr1:67390578-67454302,MIER1,GTEx Thyroid,-5.223,1.76e-07,0,0.002,0,0.051,0.947,Yes,Yes
chr1:67390578-67454302,MIER1,GTEx Whole B...,-5.179,2.23e-07,0,0.003,0,0.063,0.934,Yes,Yes
chr1:71861623-72748417,NEGR1,GTEx ACC ,8.98,2.62e-19,0,0,0.839,0.06,0.101,Yes,No
chr1:71861623-72748417,NEGR1,GTEx Caudate...,7.79886,6.25e-15,0,0,0.503,0.064,0.433,Yes,No
chr1:71861623-72748417,NEGR1,GTEx Cerebel...,5.488615,4.05e-08,0,0,0.758,0.076,0.166,Yes,No
chr1:71861623-72748417,NEGR1,GTEx Putamen...,6.6328,3.29e-11,0,0,0.448,0.367,0.185,No,No
chr1:71861623-72748417,NEGR1,PsychENCODE,5.34598,8.99e-08,0,0,0.044,0.656,0.3,No,No
chr1:71861623-72748417,NEGR1,GTEx Whole B...,10.94939,6.69e-28,0,0,0.002,0.905,0.093,No,No
chr1:72767155-72767512,RPL31P12,GTEx Cerebel...,-10.34522,4.4e-25,0,0,0,1,0,No,No
chr1:72767155-72767512,RPL31P12,GTEx Cerebel...,-8.405,4.28e-17,0,0,0,1,0,No,No
chr1:72767155-72767512,RPL31P12,PsychENCODE,-13.73702,6.09e-43,0,0,0,0.012,0.988,Yes,Yes
chr1:74935562-74978298,LRRC53,PsychENCODE,-5.43336,5.53e-08,0,0,0,0,1,Yes,Yes
chr1:87328127-87380107,SEP15,CMC DLPFC Sp...,5.364,8.14e-08,0,0.001,0,0.112,0.887,Yes,Yes
chr1:87328132-87380107,SEP15,GTEx Caudate...,-5.082,3.73e-07,0,0.003,0.009,0.352,0.636,No,No
chr1:87328132-87380107,SEP15,GTEx Frontal...,-5.138,2.78e-07,0.004,0.001,0.461,0.157,0.376,Yes,No
chr1:87328132-87380107,SEP15,GTEx Putamen...,-4.9866,6.15e-07,0,0.003,0,0.381,0.616,No,No
chr1:87328132-87380107,SEP15,GTEx Thyroid,-5.281,1.28e-07,0,0.001,0,0.164,0.835,Yes,Yes
chr1:87380331-87575681,HS2ST1,GTEx ACC ,4.85,1.24e-06,0.002,0.004,0.244,0.472,0.278,No,No
chr1:87380331-87575681,HS2ST1,GTEx Hippoca...,5.26798,1.38e-07,0.005,0.001,0.638,0.075,0.281,Yes,No
chr1:87380331-87575681,HS2ST1,GTEx Putamen...,5.2243,1.75e-07,0.002,0.001,0.295,0.07,0.632,Yes,No
chr1:87595448-87634881,RP5-1052I5.1,GTEx Adrenal...,6.25,4.1e-10,0,0.001,0.008,0.798,0.193,No,No
chr1:87595448-87634881,RP5-1052I5.1,GTEx Cerebel...,5.501463,3.77e-08,0,0.001,0.329,0.542,0.128,No,No
chr1:110009180-110024759,SYPL2,PsychENCODE,4.99191,5.98e-07,0.105,0.516,0.011,0.056,0.312,Yes,No
chr1:117910071-118071494,MAN1A2,PsychENCODE,-5.58866,2.29e-08,0,0.061,0,0.931,0.007,No,No
chr1:153931574-153940660,SLC39A1,CMC DLPFC Sp...,5.43297,5.54e-08,0,0.013,0.001,0.032,0.953,Yes,Yes
chr1:154127779-154164579,TPM3,NTR Blood,6.02952,1.64e-09,0.04,0.004,0.67,0.073,0.212,Yes,No
chr1:154540256-154552501,CHRNB2,NTR Blood,-5.176,2.27e-07,0,0.003,0.004,0.039,0.953,Yes,Yes
chr1:154540257-154552502,CHRNB2,GTEx ACC ,5.18,2.27e-07,0.036,0.002,0.526,0.028,0.409,Yes,No
chr1:154540257-154552502,CHRNB2,GTEx Whole B...,-5.228,1.71e-07,0,0.002,0,0.03,0.967,Yes,Yes
chr1:154554533-154600456,ADAR,CMC DLPFC,5.63264,1.77e-08,0,0.002,0,0.025,0.973,Yes,Yes
chr1:154554538-154600475,ADAR,GTEx Adrenal...,-5.477,4.33e-08,0,0.001,0,0.007,0.992,Yes,Yes
chr1:154554538-154600475,ADAR,PsychENCODE,5.27677,1.31e-07,0,0.001,0,0.013,0.986,Yes,Yes
chr1:154554538-154600475,ADAR,GTEx Whole B...,-5.19229,2.08e-07,0.001,0.002,0.02,0.025,0.952,Yes,Yes
chr1:154554538-154600475,ADAR,YFS Blood,-5.496022,3.88e-08,0,0.002,0,0.021,0.977,Yes,Yes
chr1:166808681-166825581,POGK,PsychENCODE,-5.02005,5.17e-07,0,0.005,0,0.011,0.984,Yes,Yes
chr1:166808681-166825581,POGK,YFS Blood,-4.923,8.52e-07,0,0.01,0,0.03,0.96,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Adrenal...,5.0123,5.38e-07,0,0.004,0,0.011,0.986,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Caudate...,5.205,1.94e-07,0,0.002,0,0.007,0.991,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Cerebel...,5.249,1.53e-07,0,0.002,0,0.005,0.993,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Cortex,5.109,3.24e-07,0.001,0.004,0.002,0.011,0.981,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Hippoca...,5.31763,1.05e-07,0.006,0.007,0.018,0.02,0.949,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Nucleus...,4.923,8.52e-07,0.012,0.01,0.036,0.029,0.914,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Putamen...,5.2389,1.61e-07,0,0.005,0,0.014,0.981,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Pituita...,5.249,1.53e-07,0,0.002,0.001,0.005,0.991,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Thyroid,5.035013,4.78e-07,0,0.005,0,0.016,0.979,Yes,Yes
chr1:166837985-166838446,DUTP6,GTEx Whole B...,4.939,7.85e-07,0,0.009,0,0.027,0.963,Yes,Yes
chr1:166958346-166991451,MAEL,GTEx Caudate...,4.85791,1.19e-06,0,0.009,0.001,0.026,0.964,Yes,Yes
chr1:166958346-166991451,MAEL,GTEx Cortex,4.85303,1.22e-06,0,0.018,0,0.055,0.926,Yes,Yes
chr1:166958346-166991451,MAEL,GTEx Frontal...,4.8408,1.29e-06,0.001,0.051,0.003,0.158,0.786,Yes,No
chr1:166958346-166991451,MAEL,GTEx Nucleus...,5.074,3.9e-07,0,0.012,0.001,0.037,0.95,Yes,Yes
chr1:173833038-173837125,GAS5,CMC DLPFC Sp...,-4.98775,6.11e-07,0.001,0.001,0.038,0.073,0.886,Yes,Yes
chr1:173833038-173837125,GAS5,CMC DLPFC Sp...,5.55945,2.71e-08,0,0.001,0,0.066,0.932,Yes,Yes
chr1:173833038-173837125,GAS5,CMC DLPFC Sp...,-5.294,1.2e-07,0,0.001,0,0.084,0.915,Yes,Yes
chr1:175873898-175889649,RP11-318C24.2,GTEx Thyroid,-5.510506,3.58e-08,0,0,0.027,0.042,0.931,Yes,Yes
chr1:175873898-175889649,RP11-318C24.2,GTEx Whole B...,-5.674,1.4e-08,0,0,0.002,0.025,0.973,Yes,Yes
chr1:175913966-176176370,RFWD2,CMC DLPFC Sp...,-5.59277,2.23e-08,0,0,0,0.04,0.96,Yes,Yes
chr1:175913966-176176370,RFWD2,CMC DLPFC Sp...,5.22264,1.76e-07,0,0,0,0.043,0.957,Yes,Yes
chr1:175913966-176176370,RFWD2,CMC DLPFC Sp...,-5.16684,2.38e-07,0,0,0,0.038,0.962,Yes,Yes
chr1:175913966-176176370,RFWD2,CMC DLPFC Sp...,-5.40416,6.51e-08,0,0.001,0,0.104,0.896,Yes,Yes
chr1:176432307-176814735,PAPPA2,GTEx Substan...,5.4395,5.34e-08,0.003,0,0.891,0.023,0.082,Yes,No
chr1:181452685-181775921,CACNA1E,CMC DLPFC Sp...,-5.33597,9.5e-08,0,0,0,0.784,0.216,No,No
chr1:191115155-191116091,HNRNPA1P46,PsychENCODE,-5.10726,3.27e-07,0.004,0.006,0.079,0.112,0.798,Yes,No
chr1:196621008-196716634,CFH,PsychENCODE,4.84664,1.26e-06,0,0.019,0,0.046,0.935,Yes,Yes
chr1:197122810-197169672,ZBTB41,PsychENCODE,-6.48285,9e-11,0,0,0,1,0,No,No
chr1:197122813-197169672,ZBTB41,CMC DLPFC,-4.97474,6.53e-07,0,0,0.244,0.452,0.304,No,No
chr1:197170591-197447585,CRB1,CMC DLPFC Sp...,-6.202,5.58e-10,0,0,0.104,0.846,0.05,No,No
chr1:197170591-197447585,CRB1,CMC DLPFC Sp...,5.04713,4.49e-07,0,0,0.171,0.212,0.616,No,No
chr1:197473878-197744623,DENND1B,CMC DLPFC,5.47957,4.26e-08,0,0,0.001,0.723,0.276,No,No
chr1:197473878-197744623,DENND1B,CMC DLPFC Sp...,-6.605,3.98e-11,0,0,0,0.576,0.424,No,No
chr1:197473878-197744623,DENND1B,CMC DLPFC Sp...,6.322,2.58e-10,0,0,0,0.894,0.106,No,No
chr1:216676587-217311097,ESRRG,CMC DLPFC Sp...,-6.77789,1.22e-11,0,0,0.111,0.882,0.007,No,No
chr1:227057885-227083806,PSEN2,GTEx Adrenal...,7.041,1.91e-12,0,0,0.002,0.004,0.994,Yes,Yes
chr1:227057885-227083806,PSEN2,GTEx Cerebel...,6.164767,7.06e-10,0,0,0.733,0.146,0.122,Yes,No
chr1:227057885-227083806,PSEN2,GTEx Thyroid,6.814,9.49e-12,0,0,0,0.023,0.977,Yes,Yes
chr1:241753416-241840678,OPN3,GTEx Thyroid,5.538659,3.05e-08,0,0,0,0.137,0.863,Yes,Yes
chr1:241753416-241840678,OPN3,GTEx Whole B...,5.538,3.06e-08,0,0,0,0.119,0.88,Yes,Yes
chr2:10179219-10180790,RP11-254F7.2,PsychENCODE,6.28982,3.18e-10,0,0,0,0,1,Yes,Yes
chr2:10182976-10194963,KLF11,PsychENCODE,5.617871,1.93e-08,0,0.002,0,0.01,0.988,Yes,Yes
chr2:22167481-22188423,AC068490.1,PsychENCODE,9.325,1.11e-20,0,0,0.772,0.214,0.014,No,No
chr2:27322220-27341995,CGREF1,CMC DLPFC Sp...,5.05602,4.28e-07,0.396,0.35,0.076,0.067,0.112,Yes,No
chr2:28931819-28959071,AC097724.3,GTEx Thyroid,4.89083,1e-06,0.288,0.07,0.093,0.022,0.527,Yes,No
chr2:43902292-43903461,AC011242.6,GTEx Thyroid,-5.14129,2.73e-07,0.002,0,0.636,0.079,0.282,Yes,No
chr2:44113647-44223144,LRPPRC,GTEx Amygdal...,-5.21,1.89e-07,0.001,0.001,0.243,0.346,0.409,No,No
chr2:44113647-44223144,LRPPRC,GTEx Hippoca...,-4.93176,8.15e-07,0,0.002,0.004,0.663,0.33,No,No
chr2:44113647-44223144,LRPPRC,GTEx Hypotha...,-5.4095,6.32e-08,0,0.001,0.074,0.309,0.617,No,No
chr2:44113647-44223144,LRPPRC,GTEx Putamen...,-5.3231,1.02e-07,0,0,0.019,0.157,0.823,Yes,Yes
chr2:44543420-44589001,PREPL,GTEx Cerebel...,5.19079,2.09e-07,0.001,0.001,0.474,0.481,0.043,No,No
chr2:47922669-48037240,MSH6,GTEx Nucleus...,-4.90626,9.28e-07,0.24,0.06,0.073,0.018,0.61,Yes,No
chr2:50145642-51259674,NRXN1,CMC DLPFC Sp...,-4.94513,7.61e-07,0,0,0,0.279,0.72,No,No
chr2:55451535-55453044,AC012358.4,GTEx ACC ,4.8439,1.27e-06,0.464,0.04,0.387,0.033,0.075,Yes,No
chr2:57982563-57993187,CTD-2026C7.1,GTEx Pituita...,-7.766,8.1e-15,0,0,0.931,0.025,0.044,Yes,No
chr2:58134785-58387055,VRK2,CMC DLPFC,-5.58191,2.38e-08,0,0,0.841,0.108,0.051,Yes,No
chr2:58386377-58468515,FANCL,CMC DLPFC,-9.94013,2.78e-23,0,0,0.025,0.011,0.964,Yes,Yes
chr2:58386377-58468515,FANCL,CMC DLPFC Sp...,7.51474,5.7e-14,0,0,0.046,0.705,0.249,No,No
chr2:58654934-59290901,AC007092.1,GTEx Frontal...,-5.9772,2.27e-09,0,0,0.687,0.1,0.213,Yes,No
chr2:63277192-63284971,OTX1,GTEx Whole B...,-6.0605,1.36e-09,0,0,0,0.665,0.334,No,No
chr2:63277875-63284304,OTX1,NTR Blood,-5.023,5.09e-07,0,0,0.072,0.896,0.032,No,No
chr2:63348534-63815867,WDPCP,CMC DLPFC Sp...,4.90364,9.41e-07,0,0,0.443,0.031,0.526,Yes,No
chr2:64068097-64118696,UGP2,CMC DLPFC Sp...,5.23882,1.62e-07,0,0.002,0.013,0.87,0.115,No,No
chr2:71336805-71357394,MCEE,CMC DLPFC Sp...,-5.27083,1.36e-07,0.001,0,0.131,0.018,0.85,Yes,Yes
chr2:71503691-71662199,ZNF638,PsychENCODE,-5.401362,6.61e-08,0,0,0,0.356,0.643,No,No
chr2:71503691-71662199,ZNF638,GTEx Thyroid,-5.657,1.54e-08,0,0,0,0.037,0.962,Yes,Yes
chr2:71503722-71651168,ZNF638,CMC DLPFC,-5.46399,4.66e-08,0,0,0.033,0.016,0.95,Yes,Yes
chr2:71503722-71651168,ZNF638,CMC DLPFC Sp...,6.02,1.74e-09,0,0,0.022,0.004,0.974,Yes,Yes
chr2:86371055-86422712,IMMT,GTEx Pituita...,-5.62974,1.8e-08,0.007,0.06,0.067,0.594,0.273,No,No
chr2:97749320-97760619,FAHD2B,GTEx Cortex,-4.86934,1.12e-06,0.643,0.094,0.076,0.011,0.177,Yes,No
chr2:99225041-99234977,UNC50,CMC DLPFC Sp...,4.83073,1.36e-06,0.002,0.218,0.008,0.742,0.03,No,No
chr2:100017790-100106497,REV1,GTEx Whole B...,-5.215,1.84e-07,0,0.002,0.001,0.061,0.936,Yes,Yes
chr2:100021680-100022305,RP11-527J8.1,GTEx Adrenal...,5.89635,3.72e-09,0.015,0.001,0.453,0.04,0.49,Yes,No
chr2:105363096-105374177,AC068057.2,GTEx Nucleus...,-5.33915,9.34e-08,0,0,0.419,0.53,0.051,No,No
chr2:113033177-113097640,ZC3H6,CMC DLPFC Sp...,5.5216,3.36e-08,0,0.035,0,0.479,0.486,No,No
chr2:124782863-125672863,CNTNAP5,CMC DLPFC Sp...,5.18637,2.14e-07,0,0,0.65,0.213,0.137,No,No
chr2:144398325-144413748,AC092652.1,PsychENCODE,-4.992118,5.97e-07,0,0,0.15,0.81,0.039,No,No
chr2:152689290-152955593,CACNB4,GTEx Pituita...,-5.41338,6.18e-08,0.015,0.003,0.57,0.11,0.302,Yes,No
chr2:153191751-153506348,FMNL2,GTEx Adrenal...,-5.379,7.49e-08,0.003,0.001,0.358,0.067,0.571,Yes,No
chr2:153246451-153247144,AC012066.1,GTEx Cerebel...,4.8814,1.05e-06,0.003,0.001,0.402,0.163,0.431,Yes,No
chr2:160175490-160473203,BAZ2B,YFS Blood,5.13606,2.81e-07,0,0.025,0,0.971,0.004,No,No
chr2:161993419-162092732,TANK,GTEx Adrenal...,-8.328,8.22e-17,0,0,0.138,0.007,0.856,Yes,Yes
chr2:172543918-172606668,DYNC1I2,CMC DLPFC Sp...,-7.60954,2.75e-14,0,0,0.497,0.062,0.441,Yes,No
chr2:172543918-172606668,DYNC1I2,CMC DLPFC Sp...,-5.94428,2.78e-09,0,0,0.2,0.126,0.674,Yes,No
chr2:172543918-172606668,DYNC1I2,CMC DLPFC Sp...,-6.25775,3.91e-10,0,0,0.539,0.03,0.431,Yes,No
chr2:172543919-172604930,DYNC1I2,GTEx Cerebel...,-6.3258,2.52e-10,0,0,0.002,0.134,0.864,Yes,Yes
chr2:172543919-172604930,DYNC1I2,PsychENCODE,-6.561,5.34e-11,0,0,0,0.615,0.385,No,No
chr2:172629992-172632354,AC068039.4,GTEx Adrenal...,6.593,4.31e-11,0,0,0,0.063,0.937,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Amygdal...,6.315,2.7e-10,0,0,0.026,0.284,0.689,No,No
chr2:172629992-172632354,AC068039.4,GTEx ACC ,6.6954,2.15e-11,0,0,0,0.127,0.873,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Caudate...,6.4306,1.27e-10,0,0,0,0.125,0.875,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Cerebel...,6.392,1.64e-10,0,0,0,0.202,0.798,No,No
chr2:172629992-172632354,AC068039.4,GTEx Cerebel...,6.593,4.31e-11,0,0,0,0.063,0.937,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Cortex,6.392,1.64e-10,0,0,0,0.202,0.798,No,No
chr2:172629992-172632354,AC068039.4,GTEx Frontal...,6.4341,1.24e-10,0,0,0,0.113,0.887,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Hippoca...,6.566,5.17e-11,0,0,0,0.075,0.925,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Hypotha...,5.8719,4.31e-09,0,0,0,0.137,0.863,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Nucleus...,6.392,1.64e-10,0,0,0,0.202,0.798,No,No
chr2:172629992-172632354,AC068039.4,GTEx Putamen...,6.392,1.64e-10,0,0,0,0.202,0.798,No,No
chr2:172629992-172632354,AC068039.4,GTEx Substan...,5.698822,1.21e-08,0,0,0.007,0.132,0.861,Yes,Yes
chr2:172629992-172632354,AC068039.4,PsychENCODE,6.69597,2.14e-11,0,0,0,0.664,0.336,No,No
chr2:172629992-172632354,AC068039.4,GTEx Pituita...,6.20825,5.36e-10,0,0,0,0.128,0.872,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Thyroid,6.58871,4.44e-11,0,0,0,0.096,0.904,Yes,Yes
chr2:172629992-172632354,AC068039.4,GTEx Whole B...,6.496,8.25e-11,0,0,0,0.114,0.886,Yes,Yes
chr2:172640880-172856352,SLC25A12,GTEx Caudate...,5.9714,2.35e-09,0,0,0.124,0.119,0.756,Yes,No
chr2:172640880-172856352,SLC25A12,GTEx Cerebel...,6.392,1.64e-10,0,0,0.615,0.083,0.302,Yes,No
chr2:172640880-172856352,SLC25A12,GTEx Cerebel...,6.2184,5.02e-10,0,0,0,0.124,0.876,Yes,Yes
chr2:172640880-172856352,SLC25A12,GTEx Hippoca...,7.35753,1.87e-13,0,0,0.595,0.06,0.345,Yes,No
chr2:172640880-172856352,SLC25A12,GTEx Hypotha...,5.8725,4.29e-09,0,0,0.322,0.065,0.613,Yes,No
chr2:172640880-172864766,SLC25A12,PsychENCODE,7.200934,5.98e-13,0,0,0,0.644,0.356,No,No
chr2:172640880-172864766,SLC25A12,YFS Blood,6.588,4.46e-11,0,0,0,0.083,0.917,Yes,Yes
chr2:172864490-172947158,METAP1D,GTEx ACC ,-6.136,8.46e-10,0,0,0.799,0.097,0.104,Yes,No
chr2:172864490-172947158,METAP1D,GTEx Cerebel...,-6.234,4.55e-10,0,0,0.842,0.059,0.099,Yes,No
chr2:172864490-172947158,METAP1D,GTEx Cortex,-6.136,8.46e-10,0,0,0.679,0.167,0.154,Yes,No
chr2:172864490-172947158,METAP1D,PsychENCODE,-5.511,3.57e-08,0,0,0.028,0.971,0.002,No,No
chr2:172864490-172947158,METAP1D,GTEx Pituita...,-5.10587,3.29e-07,0,0,0.239,0.026,0.735,Yes,No
chr2:172864490-172947158,METAP1D,GTEx Thyroid,-5.635,1.75e-08,0,0,0.002,0.958,0.04,No,No
chr2:172864490-172947158,METAP1D,GTEx Whole B...,-5.766,8.12e-09,0,0,0.371,0.567,0.061,No,No
chr2:172864803-172945587,METAP1D,CMC DLPFC,-5.649,1.61e-08,0,0,0.034,0.932,0.034,No,No
chr2:173600524-173917620,RAPGEF4,CMC DLPFC Sp...,6.845,7.65e-12,0,0,0,0,1,Yes,Yes
chr2:174937175-175113426,OLA1,GTEx Hypotha...,5.268,1.38e-07,0,0,0.749,0.048,0.203,Yes,No
chr2:175212749-175260443,CIR1,NTR Blood,-6.7193,1.83e-11,0,0,0.001,0.16,0.839,Yes,Yes
chr2:175212750-175260443,CIR1,GTEx Thyroid,-6.516,7.22e-11,0,0,0.46,0.508,0.032,No,No
chr2:175212750-175260443,CIR1,YFS Blood,-5.74622,9.13e-09,0,0,0,0.832,0.168,No,No
chr2:175260456-175294303,SCRN3,CMC DLPFC Sp...,4.834,1.34e-06,0,0,0.004,0.996,0,No,No
chr2:175260458-175294303,SCRN3,GTEx Adrenal...,4.97046,6.68e-07,0,0,0.665,0.301,0.034,No,No
chr2:175296299-175351816,GPR155,CMC DLPFC Sp...,4.87521,1.09e-06,0,0,0.074,0.879,0.047,No,No
chr2:175296966-175351822,GPR155,PsychENCODE,5.13007,2.9e-07,0,0,0,1,0,No,No
chr2:185463093-185804219,ZNF804A,PsychENCODE,8.048893,8.35e-16,0,0,0,0.03,0.97,Yes,Yes
chr2:191745553-191830278,GLS,YFS Blood,4.92,8.65e-07,0,0.01,0,0.008,0.982,Yes,Yes
chr2:197831741-198175897,ANKRD44,YFS Blood,-6.46478,1.01e-10,0,0,0.242,0.089,0.669,Yes,No
chr2:197859249-198175521,ANKRD44,NTR Blood,-4.9621,6.97e-07,0,0,0.038,0.055,0.908,Yes,Yes
chr2:198062715-198063997,AC013264.2,GTEx Whole B...,5.77,7.93e-09,0,0,0.01,0.989,0,No,No
chr2:198254508-198299815,SF3B1,GTEx Caudate...,6.7828,1.18e-11,0,0,0.038,0.111,0.852,Yes,Yes
chr2:198254508-198299815,SF3B1,GTEx Cerebel...,7.484,7.21e-14,0,0,0.122,0.177,0.701,Yes,No
chr2:198254508-198299815,SF3B1,GTEx Hypotha...,6.5357,6.33e-11,0,0,0.494,0.106,0.4,Yes,No
chr2:198254508-198299815,SF3B1,PsychENCODE,7.314671,2.58e-13,0,0,0,0.034,0.966,Yes,Yes
chr2:198254508-198299815,SF3B1,GTEx Thyroid,7.42205,1.15e-13,0,0,0,0.123,0.876,Yes,Yes
chr2:198256697-198299771,SF3B1,CMC DLPFC,7.70131,1.35e-14,0,0,0,0.02,0.98,Yes,Yes
chr2:198380295-198418423,MOB4,PsychENCODE,7.939,2.04e-15,0,0,0,0.008,0.992,Yes,Yes
chr2:198432948-198540769,RFTN2,GTEx Pituita...,6.73857,1.6e-11,0,0,0.081,0.152,0.767,Yes,No
chr2:198435526-198540584,RFTN2,CMC DLPFC Sp...,5.994,2.05e-09,0,0,0.806,0.17,0.024,Yes,No
