Location,SNP-weight Set,ID,TWAS.Z,TWAS.P,FOCUS_twas_z,FOCUS_in_cred_set,FOCUS_pip,FOCUS_region
chr1:47681962-47697892,YFS Blood,TAL1,-4.921,8.61e-07,-4.74,0,0.154,1:46899657-1:48002576
chr1:50513686-50669458,PsychENCODE,ELAVL4,-5.72159,1.06e-08,-5.47,1,0.998,1:49894177-1:51713726
chr1:52027538-52060569,GTEx Amygdal...,CALR4P,-5.748,9.03e-09,-0.0524,0,0.0011,1:49894177-1:51713726
chr1:52027538-52060569,GTEx Amygdal...,CALR4P,-5.748,9.03e-09,-5.98,0,0.00209,1:51713726-1:54226262
chr1:52254865-52344609,CMC DLPFC Sp...,NRD1,-7.452,9.19e-14,-7.13,1,0.334,1:51713726-1:54226262
chr1:52254865-52344609,CMC DLPFC Sp...,NRD1,7.452,9.19e-14,4.68,1,0.000273,1:51713726-1:54226262
chr1:52254865-52344609,CMC DLPFC Sp...,NRD1,7.452,9.19e-14,7.23,1,0.655,1:51713726-1:54226262
chr1:52254890-52344477,GTEx Whole B...,NRD1,4.94331,7.68e-07,4.87,0,0.000283,1:51713726-1:54226262
chr1:52259637-52264824,GTEx Adrenal...,RP4-657D16.3,6.66,2.74e-11,6.61,1,0.0116,1:51713726-1:54226262
chr1:52259637-52264824,GTEx Thyroid,RP4-657D16.3,5.540978,3.01e-08,5.34,0,0.000323,1:51713726-1:54226262
chr1:67218143-67244470,GTEx Caudate...,TCTEX1D1,-4.86041,1.17e-06,-4.72,1,0.142,1:66939404-1:68477618
chr1:67278568-67390570,GTEx Pituita...,WDR78,5.179,2.23e-07,1.36,0,0.000405,1:65041704-1:66939404
chr1:67278568-67390570,GTEx Pituita...,WDR78,5.179,2.23e-07,4.75,1,0.0681,1:66939404-1:68477618
chr1:67278568-67390570,GTEx Thyroid,WDR78,5.35553,8.53e-08,5.35,1,0.438,1:66939404-1:68477618
chr1:67390577-67454302,NTR Blood,MIER1,-5.495,3.91e-08,0.127,0,0.000166,1:65041704-1:66939404
chr1:67390577-67454302,NTR Blood,MIER1,-5.495,3.91e-08,-4.86,0,0.0378,1:66939404-1:68477618
chr1:67390578-67454302,GTEx Adrenal...,MIER1,-5.398,6.74e-08,-1.34,0,0.000403,1:65041704-1:66939404
chr1:67390578-67454302,GTEx Adrenal...,MIER1,-5.398,6.74e-08,-5.09,0,0.03,1:66939404-1:68477618
chr1:67390578-67454302,GTEx Thyroid,MIER1,-5.223,1.76e-07,-4.98,1,0.136,1:66939404-1:68477618
chr1:67390578-67454302,GTEx Whole B...,MIER1,-5.179,2.23e-07,-5.11,1,0.27,1:66939404-1:68477618
chr1:71861623-72748417,GTEx ACC ,NEGR1,8.98,2.62e-19,8.48,0,0.000114,1:71684606-1:74326484
chr1:71861623-72748417,GTEx Caudate...,NEGR1,7.79886,6.25e-15,8.09,0,0.000106,1:71684606-1:74326484
chr1:71861623-72748417,GTEx Cerebel...,NEGR1,5.488615,4.05e-08,4.52,0,0.000656,1:71684606-1:74326484
chr1:71861623-72748417,GTEx Putamen...,NEGR1,6.6328,3.29e-11,5.84,0,0.000691,1:71684606-1:74326484
chr1:71861623-72748417,PsychENCODE,NEGR1,5.34598,8.99e-08,-2.85,0,0.0115,1:69687616-1:71372470
chr1:71861623-72748417,PsychENCODE,NEGR1,5.34598,8.99e-08,-0.359,0,0.0013,1:71372470-1:71683442
chr1:71861623-72748417,PsychENCODE,NEGR1,5.34598,8.99e-08,7.25,0,9.95e-05,1:71684606-1:74326484
chr1:71861623-72748417,GTEx Whole B...,NEGR1,10.94939,6.69e-28,9.96,0,0.00586,1:71684606-1:74326484
chr1:72767155-72767512,GTEx Cerebel...,RPL31P12,-10.34522,4.4e-25,-10.6,1,1,1:71684606-1:74326484
chr1:72767155-72767512,GTEx Cerebel...,RPL31P12,-8.405,4.28e-17,-8.3,0,0.000323,1:71684606-1:74326484
chr1:72767155-72767512,PsychENCODE,RPL31P12,-13.73702,6.09e-43,-9.43,1,1,1:71684606-1:74326484
chr1:74935562-74978298,PsychENCODE,LRRC53,-5.43336,5.53e-08,-5.33,1,0.998,1:74327078-1:76728135
chr1:87328127-87380107,CMC DLPFC Sp...,SEP15,5.364,8.14e-08,5.12,0,0.00411,1:86454751-1:88128631
chr1:87328132-87380107,GTEx Caudate...,SEP15,-5.082,3.73e-07,-4.96,0,0.00197,1:86454751-1:88128631
chr1:87328132-87380107,GTEx Frontal...,SEP15,-5.138,2.78e-07,-4.23,0,0.000574,1:86454751-1:88128631
chr1:87328132-87380107,GTEx Putamen...,SEP15,-4.9866,6.15e-07,-4.89,0,0.00159,1:86454751-1:88128631
chr1:87328132-87380107,GTEx Thyroid,SEP15,-5.281,1.28e-07,-5.05,0,0.0031,1:86454751-1:88128631
chr1:87380331-87575681,GTEx ACC ,HS2ST1,4.85,1.24e-06,5.3,0,0.0153,1:86454751-1:88128631
chr1:87380331-87575681,GTEx Hippoca...,HS2ST1,5.26798,1.38e-07,5.37,0,0.0099,1:86454751-1:88128631
chr1:87380331-87575681,GTEx Putamen...,HS2ST1,5.2243,1.75e-07,5.14,0,0.00574,1:86454751-1:88128631
chr1:87595448-87634881,GTEx Adrenal...,RP5-1052I5.1,6.25,4.1e-10,6.24,1,0.953,1:86454751-1:88128631
chr1:87595448-87634881,GTEx Cerebel...,RP5-1052I5.1,5.501463,3.77e-08,5.34,0,0.00872,1:86454751-1:88128631
chr1:110009180-110024759,PsychENCODE,SYPL2,4.99191,5.98e-07,4.84,1,0.184,1:108409665-1:110303881
chr1:117910071-118071494,PsychENCODE,MAN1A2,-5.58866,2.29e-08,-5.64,1,0.999,1:115880675-1:118839067
chr1:153931574-153940660,CMC DLPFC Sp...,SLC39A1,5.43297,5.54e-08,5.58,1,0.829,1:153181025-1:154770403
chr1:154127779-154164579,NTR Blood,TPM3,6.02952,1.64e-09,6.03,1,0.118,1:153181025-1:154770403
chr1:154540256-154552501,NTR Blood,CHRNB2,-5.176,2.27e-07,-5.41,1,0.305,1:153181025-1:154770403
chr1:154540256-154552501,NTR Blood,CHRNB2,-5.176,2.27e-07,1.28,0,0.000482,1:154770403-1:156336133
chr1:154540257-154552502,GTEx ACC ,CHRNB2,5.18,2.27e-07,4.71,0,0.0179,1:153181025-1:154770403
chr1:154540257-154552502,GTEx Whole B...,CHRNB2,-5.228,1.71e-07,-5.5,0,0.0495,1:153181025-1:154770403
chr1:154540257-154552502,GTEx Whole B...,CHRNB2,-5.228,1.71e-07,-0.555,0,0.000255,1:154770403-1:156336133
chr1:154554533-154600456,CMC DLPFC,ADAR,5.63264,1.77e-08,5.44,1,0.203,1:153181025-1:154770403
chr1:154554538-154600475,GTEx Adrenal...,ADAR,-5.477,4.33e-08,-4.84,0,0.00868,1:153181025-1:154770403
chr1:154554538-154600475,GTEx Adrenal...,ADAR,-5.477,4.33e-08,-2.41,1,0.00854,1:154770403-1:156336133
chr1:154554538-154600475,PsychENCODE,ADAR,5.27677,1.31e-07,5.26,1,0.125,1:153181025-1:154770403
chr1:154554538-154600475,PsychENCODE,ADAR,5.27677,1.31e-07,2.45,1,0.00257,1:154770403-1:156336133
chr1:154554538-154600475,GTEx Whole B...,ADAR,-5.19229,2.08e-07,-4.81,0,0.00646,1:153181025-1:154770403
chr1:154554538-154600475,GTEx Whole B...,ADAR,-5.19229,2.08e-07,-1.79,0,0.00092,1:154770403-1:156336133
chr1:154554538-154600475,YFS Blood,ADAR,-5.496022,3.88e-08,-5.43,1,0.101,1:153181025-1:154770403
chr1:166808681-166825581,PsychENCODE,POGK,-5.02005,5.17e-07,-4.76,0,0.0268,1:166460527-1:169086221
chr1:166808681-166825581,YFS Blood,POGK,-4.923,8.52e-07,-4.69,0,0.0152,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Adrenal...,DUTP6,5.0123,5.38e-07,4.84,0,0.0182,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Caudate...,DUTP6,5.205,1.94e-07,4.84,0,0.0258,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Cerebel...,DUTP6,5.249,1.53e-07,4.8,0,0.0166,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Cortex,DUTP6,5.109,3.24e-07,4.75,0,0.0162,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Hippoca...,DUTP6,5.31763,1.05e-07,5.26,1,0.497,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Nucleus...,DUTP6,4.923,8.52e-07,4.92,0,0.0425,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Putamen...,DUTP6,5.2389,1.61e-07,5.1,1,0.0911,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Pituita...,DUTP6,5.249,1.53e-07,4.8,0,0.0213,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Thyroid,DUTP6,5.035013,4.78e-07,4.96,0,0.0465,1:166460527-1:169086221
chr1:166837985-166838446,GTEx Whole B...,DUTP6,4.939,7.85e-07,4.06,0,0.000507,1:166460527-1:169086221
chr1:166958346-166991451,GTEx Caudate...,MAEL,4.85791,1.19e-06,4.8,0,0.0162,1:166460527-1:169086221
chr1:166958346-166991451,GTEx Cortex,MAEL,4.85303,1.22e-06,4.79,0,0.0135,1:166460527-1:169086221
chr1:166958346-166991451,GTEx Frontal...,MAEL,4.8408,1.29e-06,4.79,0,0.00451,1:166460527-1:169086221
chr1:166958346-166991451,GTEx Nucleus...,MAEL,5.074,3.9e-07,5.02,1,0.0696,1:166460527-1:169086221
chr1:173833038-173837125,CMC DLPFC Sp...,GAS5,-4.98775,6.11e-07,-4.97,1,0.0759,1:173097989-1:175089768
chr1:173833038-173837125,CMC DLPFC Sp...,GAS5,5.55945,2.71e-08,5.44,1,0.794,1:173097989-1:175089768
chr1:173833038-173837125,CMC DLPFC Sp...,GAS5,-5.294,1.2e-07,-5.08,1,0.125,1:173097989-1:175089768
chr1:175873898-175889649,GTEx Thyroid,RP11-318C24.2,-5.510506,3.58e-08,-4.65,0,0.029,1:175089768-1:177433331
chr1:175873898-175889649,GTEx Whole B...,RP11-318C24.2,-5.674,1.4e-08,-4.58,0,0.0191,1:175089768-1:177433331
chr1:175913966-176176370,CMC DLPFC Sp...,RFWD2,-5.59277,2.23e-08,-5.38,1,0.691,1:175089768-1:177433331
chr1:175913966-176176370,CMC DLPFC Sp...,RFWD2,5.22264,1.76e-07,5.08,1,0.13,1:175089768-1:177433331
chr1:175913966-176176370,CMC DLPFC Sp...,RFWD2,-5.16684,2.38e-07,-5.05,0,0.109,1:175089768-1:177433331
chr1:175913966-176176370,CMC DLPFC Sp...,RFWD2,-5.40416,6.51e-08,-4.81,0,0.0167,1:175089768-1:177433331
chr1:176432307-176814735,GTEx Substan...,PAPPA2,5.4395,5.34e-08,4.11,0,0.00371,1:175089768-1:177433331
chr1:181452685-181775921,CMC DLPFC Sp...,CACNA1E,-5.33597,9.5e-08,-5.12,1,0.983,1:181144121-1:182755356
chr1:191115155-191116091,PsychENCODE,HNRNPA1P46,-5.10726,3.27e-07,-5.12,1,0.983,1:189904130-1:191868441
chr1:196621008-196716634,PsychENCODE,CFH,4.84664,1.26e-06,4.81,1,0.565,1:196176201-1:197311514
chr1:197122810-197169672,PsychENCODE,ZBTB41,-6.48285,9e-11,-4.56,1,0.229,1:196176201-1:197311514
chr1:197122810-197169672,PsychENCODE,ZBTB41,-6.48285,9e-11,-5.7,0,0.00705,1:197311514-1:199239815
chr1:197122813-197169672,CMC DLPFC,ZBTB41,-4.97474,6.53e-07,-2.99,0,0.00167,1:196176201-1:197311514
chr1:197122813-197169672,CMC DLPFC,ZBTB41,-4.97474,6.53e-07,-4.04,0,0.000616,1:197311514-1:199239815
chr1:197170591-197447585,CMC DLPFC Sp...,CRB1,-6.202,5.58e-10,-5.47,0,0.00567,1:197311514-1:199239815
chr1:197170591-197447585,CMC DLPFC Sp...,CRB1,5.04713,4.49e-07,-1.83,0,0.00137,1:196176201-1:197311514
chr1:197170591-197447585,CMC DLPFC Sp...,CRB1,5.04713,4.49e-07,6.13,1,0.138,1:197311514-1:199239815
chr1:197473878-197744623,CMC DLPFC,DENND1B,5.47957,4.26e-08,-2.08,0,0.000388,1:196176201-1:197311514
chr1:197473878-197744623,CMC DLPFC,DENND1B,5.47957,4.26e-08,7.41,1,0.977,1:197311514-1:199239815
chr1:197473878-197744623,CMC DLPFC Sp...,DENND1B,-6.605,3.98e-11,-6.23,0,0.00287,1:197311514-1:199239815
chr1:197473878-197744623,CMC DLPFC Sp...,DENND1B,6.322,2.58e-10,6.2,0,0.00508,1:197311514-1:199239815
chr1:216676587-217311097,CMC DLPFC Sp...,ESRRG,-6.77789,1.22e-11,-6.48,1,1,1:216243848-1:218705513
chr1:227057885-227083806,GTEx Adrenal...,PSEN2,7.041,1.91e-12,2.31,0,0.00156,1:224938853-1:226810860
chr1:227057885-227083806,GTEx Adrenal...,PSEN2,7.041,1.91e-12,6.66,1,0.457,1:226810860-1:229156248
chr1:227057885-227083806,GTEx Cerebel...,PSEN2,6.164767,7.06e-10,6.01,0,0.0272,1:226810860-1:229156248
chr1:227057885-227083806,GTEx Thyroid,PSEN2,6.814,9.49e-12,6.69,1,0.535,1:226810860-1:229156248
chr1:241753416-241840678,GTEx Thyroid,OPN3,5.538659,3.05e-08,5.42,1,0.581,1:241582519-1:242071602
chr1:241753416-241840678,GTEx Thyroid,OPN3,5.538659,3.05e-08,-0.432,0,0.000258,1:242071602-1:244108806
chr1:241753416-241840678,GTEx Whole B...,OPN3,5.538,3.06e-08,5.36,0,0.417,1:241582519-1:242071602
chr1:241753416-241840678,GTEx Whole B...,OPN3,5.538,3.06e-08,-0.843,0,0.000468,1:242071602-1:244108806
chr2:10179219-10180790,PsychENCODE,RP11-254F7.2,6.28982,3.18e-10,-0.782,0,0.000306,2:10298469-2:12419149
chr2:10179219-10180790,PsychENCODE,RP11-254F7.2,6.28982,3.18e-10,6.05,1,0.954,2:8422147-2:10298469
chr2:10182976-10194963,PsychENCODE,KLF11,5.617871,1.93e-08,5.51,0,0.0471,2:8422147-2:10298469
chr2:22167481-22188423,PsychENCODE,AC068490.1,9.325,1.11e-20,9,1,1,2:21051230-2:23341383
chr2:27322220-27341995,CMC DLPFC Sp...,CGREF1,5.05602,4.28e-07,4.22,1,0.148,2:26894985-2:28598777
chr2:28931819-28959071,GTEx Thyroid,AC097724.3,4.89083,1e-06,1.97,0,0.00197,2:26894985-2:28598777
chr2:28931819-28959071,GTEx Thyroid,AC097724.3,4.89083,1e-06,5.03,1,0.408,2:28598777-2:29216869
chr2:28931819-28959071,GTEx Thyroid,AC097724.3,4.89083,1e-06,0.0681,0,0.00016,2:29217896-2:30462979
chr2:43902292-43903461,GTEx Thyroid,AC011242.6,-5.14129,2.73e-07,-4.89,1,0.017,2:43309590-2:44313803
chr2:43902292-43903461,GTEx Thyroid,AC011242.6,-5.14129,2.73e-07,-2.79,1,0.0282,2:44313803-2:46482485
chr2:44113647-44223144,GTEx Amygdal...,LRPPRC,-5.21,1.89e-07,-5.12,1,0.0331,2:43309590-2:44313803
chr2:44113647-44223144,GTEx Amygdal...,LRPPRC,-5.21,1.89e-07,-1.76,0,0.000769,2:44313803-2:46482485
chr2:44113647-44223144,GTEx Hippoca...,LRPPRC,-4.93176,8.15e-07,-4.83,0,0.009,2:43309590-2:44313803
chr2:44113647-44223144,GTEx Hypotha...,LRPPRC,-5.4095,6.32e-08,-5.25,1,0.0633,2:43309590-2:44313803
chr2:44113647-44223144,GTEx Putamen...,LRPPRC,-5.3231,1.02e-07,-5.1,1,0.0301,2:43309590-2:44313803
chr2:44113647-44223144,GTEx Putamen...,LRPPRC,-5.3231,1.02e-07,-0.648,0,0.000266,2:44313803-2:46482485
chr2:44543420-44589001,GTEx Cerebel...,PREPL,5.19079,2.09e-07,5.41,1,0.124,2:43309590-2:44313803
chr2:44543420-44589001,GTEx Cerebel...,PREPL,5.19079,2.09e-07,3.22,1,0.0264,2:44313803-2:46482485
chr2:47922669-48037240,GTEx Nucleus...,MSH6,-4.90626,9.28e-07,-4.73,1,0.271,2:47318772-2:48213001
chr2:47922669-48037240,GTEx Nucleus...,MSH6,-4.90626,9.28e-07,-3.57,1,0.0502,2:48213001-2:50022257
chr2:50145642-51259674,CMC DLPFC Sp...,NRXN1,-4.94513,7.61e-07,-4.77,1,0.914,2:50818928-2:52491133
chr2:55451535-55453044,GTEx ACC ,AC012358.4,4.8439,1.27e-06,4.88,1,0.893,2:54685226-2:56203345
chr2:57982563-57993187,GTEx Pituita...,CTD-2026C7.1,-7.766,8.1e-15,-7.1,0,0.000881,2:57429100-2:58296890
chr2:57982563-57993187,GTEx Pituita...,CTD-2026C7.1,-7.766,8.1e-15,-6.46,0,0.00102,2:58297664-2:60292000
chr2:58134785-58387055,CMC DLPFC,VRK2,-5.58191,2.38e-08,-4.16,0,0.000795,2:57429100-2:58296890
chr2:58134785-58387055,CMC DLPFC,VRK2,-5.58191,2.38e-08,-3.7,0,0.000104,2:58297664-2:60292000
chr2:58386377-58468515,CMC DLPFC,FANCL,-9.94013,2.78e-23,-8.11,1,0.344,2:57429100-2:58296890
chr2:58386377-58468515,CMC DLPFC,FANCL,-9.94013,2.78e-23,-8.3,1,1,2:58297664-2:60292000
chr2:58386377-58468515,CMC DLPFC Sp...,FANCL,7.51474,5.7e-14,8.89,1,0.682,2:57429100-2:58296890
chr2:58386377-58468515,CMC DLPFC Sp...,FANCL,7.51474,5.7e-14,2.74,0,9.77e-05,2:58297664-2:60292000
chr2:58654934-59290901,GTEx Frontal...,AC007092.1,-5.9772,2.27e-09,-8.66,0,0.317,2:57429100-2:58296890
chr2:58654934-59290901,GTEx Frontal...,AC007092.1,-5.9772,2.27e-09,-5.07,1,1,2:58297664-2:60292000
chr2:63277192-63284971,GTEx Whole B...,OTX1,-6.0605,1.36e-09,-6.07,1,0.897,2:62429044-2:64625913
chr2:63277875-63284304,NTR Blood,OTX1,-5.023,5.09e-07,-5.47,1,0.0414,2:62429044-2:64625913
chr2:63348534-63815867,CMC DLPFC Sp...,WDPCP,4.90364,9.41e-07,4.82,0,0.00274,2:62429044-2:64625913
chr2:64068097-64118696,CMC DLPFC Sp...,UGP2,5.23882,1.62e-07,5.16,1,0.0436,2:62429044-2:64625913
chr2:71336805-71357394,CMC DLPFC Sp...,MCEE,-5.27083,1.36e-07,-5.23,1,0.181,2:70755198-2:73174848
chr2:71503691-71662199,PsychENCODE,ZNF638,-5.401362,6.61e-08,-4.88,0,0.0358,2:70755198-2:73174848
chr2:71503691-71662199,GTEx Thyroid,ZNF638,-5.657,1.54e-08,-5,0,0.0579,2:70755198-2:73174848
chr2:71503722-71651168,CMC DLPFC,ZNF638,-5.46399,4.66e-08,-5.51,1,0.731,2:70755198-2:73174848
chr2:71503722-71651168,CMC DLPFC Sp...,ZNF638,6.02,1.74e-09,3.16,0,0.000347,2:70755198-2:73174848
chr2:86371055-86422712,GTEx Pituita...,IMMT,-5.62974,1.8e-08,-5.63,1,0.965,2:85140735-2:88038209
chr2:97749320-97760619,GTEx Cortex,FAHD2B,-4.86934,1.12e-06,-4.55,1,0.0514,2:95326507-2:98995201
chr2:99225041-99234977,CMC DLPFC Sp...,UNC50,4.83073,1.36e-06,2.3,0,0.000986,2:95326507-2:98995201
chr2:99225041-99234977,CMC DLPFC Sp...,UNC50,4.83073,1.36e-06,4.67,0,0.00946,2:98995201-2:101822329
chr2:100017790-100106497,GTEx Whole B...,REV1,-5.215,1.84e-07,-5.24,0,0.0114,2:98995201-2:101822329
chr2:100021680-100022305,GTEx Adrenal...,RP11-527J8.1,5.89635,3.72e-09,5.89,1,0.949,2:98995201-2:101822329
chr2:105363096-105374177,GTEx Nucleus...,AC068057.2,-5.33915,9.34e-08,-3.76,0,0.00118,2:103588215-2:105125034
chr2:105363096-105374177,GTEx Nucleus...,AC068057.2,-5.33915,9.34e-08,-4.45,1,0.488,2:105125034-2:106210058
chr2:113033177-113097640,CMC DLPFC Sp...,ZC3H6,5.5216,3.36e-08,5.51,1,0.976,2:110706146-2:113921702
chr2:124782863-125672863,CMC DLPFC Sp...,CNTNAP5,5.18637,2.14e-07,5.37,1,0.996,2:124732465-2:125840921
chr2:124782863-125672863,CMC DLPFC Sp...,CNTNAP5,5.18637,2.14e-07,-0.774,0,0.00021,2:125840921-2:127372728
chr2:144398325-144413748,PsychENCODE,AC092652.1,-4.992118,5.97e-07,-5.24,1,0.996,2:142518602-2:144519455
chr2:144398325-144413748,PsychENCODE,AC092652.1,-4.992118,5.97e-07,-0.968,0,0.000257,2:144519653-2:146445570
chr2:152689290-152955593,GTEx Pituita...,CACNB4,-5.41338,6.18e-08,-5.22,0,0.0418,2:152486782-2:154003962
chr2:153191751-153506348,GTEx Adrenal...,FMNL2,-5.379,7.49e-08,-4.47,0,0.00367,2:152486782-2:154003962
chr2:153246451-153247144,GTEx Cerebel...,AC012066.1,4.8814,1.05e-06,4.69,0,0.0143,2:152486782-2:154003962
chr2:160175490-160473203,YFS Blood,BAZ2B,5.13606,2.81e-07,5.03,1,0.732,2:159577307-2:161769733
chr2:161993419-162092732,GTEx Adrenal...,TANK,-8.328,8.22e-17,-8.88,1,1,2:161769733-2:163502721
chr2:172543918-172606668,CMC DLPFC Sp...,DYNC1I2,-7.60954,2.75e-14,-7.59,1,0.831,2:171226245-2:173138562
chr2:172543918-172606668,CMC DLPFC Sp...,DYNC1I2,-5.94428,2.78e-09,-5.78,1,0.000507,2:171226245-2:173138562
chr2:172543918-172606668,CMC DLPFC Sp...,DYNC1I2,-6.25775,3.91e-10,-6.24,1,0.00254,2:171226245-2:173138562
chr2:172543919-172604930,GTEx Cerebel...,DYNC1I2,-6.3258,2.52e-10,-6.28,0,0.000478,2:171226245-2:173138562
chr2:172543919-172604930,PsychENCODE,DYNC1I2,-6.561,5.34e-11,-6.23,0,0.000434,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Adrenal...,AC068039.4,6.593,4.31e-11,6.21,0,0.000428,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Amygdal...,AC068039.4,6.315,2.7e-10,6.03,0,0.000363,2:171226245-2:173138562
chr2:172629992-172632354,GTEx ACC ,AC068039.4,6.6954,2.15e-11,6.59,0,0.000793,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Caudate...,AC068039.4,6.4306,1.27e-10,6.32,0,0.000494,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Cerebel...,AC068039.4,6.392,1.64e-10,6.66,0,0.00111,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Cerebel...,AC068039.4,6.593,4.31e-11,6.1,0,0.000393,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Cortex,AC068039.4,6.392,1.64e-10,6.03,0,0.000365,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Frontal...,AC068039.4,6.4341,1.24e-10,6.37,0,0.000543,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Hippoca...,AC068039.4,6.566,5.17e-11,6.27,0,0.000737,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Hypotha...,AC068039.4,5.8719,4.31e-09,5.78,0,0.000381,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Nucleus...,AC068039.4,6.392,1.64e-10,6.12,0,0.000392,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Putamen...,AC068039.4,6.392,1.64e-10,6.1,0,0.000389,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Substan...,AC068039.4,5.698822,1.21e-08,5.69,0,0.000452,2:171226245-2:173138562
chr2:172629992-172632354,PsychENCODE,AC068039.4,6.69597,2.14e-11,6.66,0,0.000974,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Pituita...,AC068039.4,6.20825,5.36e-10,6.01,0,0.000394,2:171226245-2:173138562
chr2:172629992-172632354,GTEx Thyroid,AC068039.4,6.58871,4.44e-11,6.54,0,0.000715,2:171226245-2:173138562
